user_genome	is_ani_classification	class_tree_mapped	classification_rule
STP51B.12603_R.bin.29	False	3	Rule 2
STP51B.12603_R.bin.3	False	2	Rule 2
STP51B.12603_R.bin.30	False	4	Rule 2
STP51B.12603_R.bin.33	False	3	Rule 2
STP51B.12603_R.bin.34	False	2	Rule 2
STP51B.12603_R.bin.35	False	3	Rule 2
STP51B.12603_R.bin.36	False	3	Rule 2
STP51B.12603_R.bin.37	False	2	Rule 2
STP51B.12603_R.bin.39	False	3	Rule 2
STP51B.12603_R.bin.4	False	3	Rule 2
STP51B.12603_R.bin.40	False	3	Rule 2
STP51B.12603_R.bin.41	False	2	Rule 2
STP51B.12603_R.bin.42	False	3	Rule 2
STP51B.12603_R.bin.43	False	3	Rule 2
STP51B.12603_R.bin.44	False	8	Rule 2
STP51B.12603_R.bin.45	False	6	Rule 2
STP51B.12603_R.bin.46	False	3	Rule 2
STP51B.12603_R.bin.47	False	2	Rule 2
STP51B.12603_R.bin.48	False	3	Rule 2
STP51B.12603_R.bin.49	False	3	Rule 2
STP51B.12603_R.bin.5	False	3	Rule 2
STP51B.12603_R.bin.50	False	3	Rule 2
STP51B.12603_R.bin.51	False	3	Rule 2
STP51B.12603_R.bin.53	False	8	Rule 2
STP51B.12603_R.bin.56	False	2	Rule 2
STP51B.12603_R.bin.57	False	8	Rule 2
STP51B.12603_R.bin.59	False	3	Rule 2
STP51B.12603_R.bin.6	False	2	Rule 2
STP51B.12603_R.bin.60	False	3	Rule 2
STP51B.12603_R.bin.62	False	2	Rule 2
STP51B.12603_R.bin.63	False	5	Rule 2
STP51B.12603_R.bin.65	False	2	Rule 2
STP51B.12603_R.bin.66	False	3	Rule 2
STP51B.12603_R.bin.67	False	2	Rule 2
STP51B.12603_R.bin.68	False	2	Rule 2
STP51B.12603_R.bin.7	False	3	Rule 2
STP51B.12603_R.bin.70	False	3	Rule 2
STP51B.12603_R.bin.71	False	3	Rule 2
STP51B.12603_R.bin.72	False	3	Rule 2
STP51B.12603_R.bin.74	False	2	Rule 2
STP51B.12603_R.bin.75	False	1	Rule 2
STP51B.12603_R.bin.76	False	3	Rule 2
STP51B.12603_R.bin.78	False	2	Rule 2
STP51B.12603_R.bin.79	False	2	Rule 2
STP51B.12603_R.bin.8	False	3	Rule 2
STP51B.12603_R.bin.80	False	8	Rule 2
STP51B.12603_R.bin.81	False	3	Rule 2
STP51B.12603_R.bin.82	False	6	Rule 2
STP51B.12603_R.bin.83	False	3	Rule 2
STP51B.12603_R.bin.85	False	3	Rule 2
STP51B.12603_R.bin.86	False	2	Rule 2
STP51B.12603_R.bin.87	False	3	Rule 2
STP51B.12603_R.bin.88	False	3	Rule 2
STP51B.12603_R.bin.89	False	3	Rule 2
STP51B.12603_R.bin.9	False	8	Rule 2
STP51B.12603_R.bin.90	False	2	Rule 2
STP51B.12603_R.bin.91	False	2	Rule 2
STP51B.12603_R.bin.92	False	2	Rule 2
STP51B.12603_R.bin.93	False	3	Rule 2
STP51B.12603_R.bin.94	False	3	Rule 2
STP51B.12603_R.bin.95	False	3	Rule 2
STP51B.12603_R.bin.97	False	3	Rule 2
STP51B.12603_R.bin.99	False	3	Rule 2
STP572.12604_R.bin.1	False	2	Rule 2
STP572.12604_R.bin.10	False	6	Rule 2
STP572.12604_R.bin.100	False	2	Rule 2
STP572.12604_R.bin.101	False	3	Rule 2
STP572.12604_R.bin.102	False	4	Rule 2
STP572.12604_R.bin.103	False	3	Rule 2
STP572.12604_R.bin.105	False	3	Rule 2
STP572.12604_R.bin.106	False	2	Rule 2
STP572.12604_R.bin.107	False	5	Rule 2
STP572.12604_R.bin.108	False	3	Rule 2
STP572.12604_R.bin.109	False	2	Rule 2
STP572.12604_R.bin.110	False	2	Rule 2
STP572.12604_R.bin.112	False	7	Rule 2
STP572.12604_R.bin.12	False	3	Rule 2
STP572.12604_R.bin.14	False	8	Rule 2
STP572.12604_R.bin.15	False	8	Rule 2
STP572.12604_R.bin.16	False	2	Rule 2
STP572.12604_R.bin.17	False	2	Rule 2
STP572.12604_R.bin.18	False	3	Rule 2
STP572.12604_R.bin.19	False	2	Rule 2
STP572.12604_R.bin.2	False	3	Rule 2
STP572.12604_R.bin.20	False	8	Rule 2
STP572.12604_R.bin.21	False	3	Rule 2
STP572.12604_R.bin.22	False	2	Rule 2
STP572.12604_R.bin.23	False	2	Rule 2
STP572.12604_R.bin.24	False	2	Rule 2
STP572.12604_R.bin.26	False	2	Rule 2
STP572.12604_R.bin.27	False	2	Rule 2
STP572.12604_R.bin.28	False	2	Rule 2
STP572.12604_R.bin.29	False	2	Rule 2
STP572.12604_R.bin.3	False	3	Rule 2
STP572.12604_R.bin.30	False	2	Rule 2
STP572.12604_R.bin.31	False	4	Rule 2
STP572.12604_R.bin.33	False	3	Rule 2
STP572.12604_R.bin.34	False	2	Rule 2
STP572.12604_R.bin.35	False	3	Rule 2
STP572.12604_R.bin.36	False	2	Rule 2
STP572.12604_R.bin.37	False	3	Rule 2
STP572.12604_R.bin.38	False	2	Rule 2
STP572.12604_R.bin.39	False	2	Rule 2
STP572.12604_R.bin.4	False	3	Rule 2
